retention_in_hour,count
3511,1
3512,7
3536,2
3955,2
3964,2
3985,1
4024,1
4176,2
4186,2
4224,8
4226,8
4227,2
4235,1
4242,2
4251,4
4258,6
4259,1
4260,1
4261,1
4262,1
4263,1
4270,6
4282,2
4304,2
4348,4
4350,4
4365,2
4415,1
4424,1
4430,3
4434,3
4439,4
4448,1
4449,4
4450,8
4496,2
4528,4
4544,1
4577,2
4580,2
4604,2
4608,2
4609,2
4639,4
4640,8
4686,2
4731,8
4766,2
4783,1
4884,1
4887,6
4927,3
4934,5
4938,1
5050,8
5093,4
5106,4
5264,8
5287,2
5376,5
5383,4
5385,5
5391,4
5396,8
5416,1
5417,1
5464,1
5470,1
5552,1
5640,1
5674,1
5692,1
5714,8
5718,1
5719,1
5721,1
5726,4
5770,1
5771,8
5772,1
5809,6
5819,1
5824,1
5825,2
5826,1
5827,1
5828,1
5829,1
5830,1
5839,1
5848,4
5850,1
5853,1
5865,2
5866,1
5868,1
5869,1
5871,1
5938,7
5970,1
5976,1
6647,7
6894,6
6901,2
7190,6
7261,8
7285,8
7307,6
7310,6
7311,6
7313,4
7381,6
7385,1
7430,4
7501,9
7521,2
7522,4
7524,4
7972,1
7975,1
7997,1
8005,1
8085,1
8156,1
8158,1
8184,1
8232,1
8245,2
8287,1
3480,64
3486,50
3500,28
3503,68
3510,17
3514,86
3523,48
3528,60
3593,33
3595,92
3599,11
3601,11
3602,99
3603,19
3604,19
3606,25
3607,19
3618,81
3632,42
3651,53
3667,70
3705,42
3709,78
3722,54
3728,98
3740,68
3747,73
3748,73
3761,46
3762,23
3767,27
3768,53
3786,67
3791,62
3882,64
3889,73
3953,50
3958,10
3960,28
3961,94
3963,24
3978,25
4004,10
4035,10
4082,10
4216,14
4225,12
4228,10
4253,15
4256,12
4266,14
4277,12
4279,55
4298,77
4299,12
4300,26
4303,28
4319,44
4321,96
4322,47
4323,47
4324,49
4325,45
4326,44
4327,44
4369,18
4370,22
4409,44
4410,44
4414,67
4421,90
4422,10
4431,49
4436,43
4442,17
4443,50
4444,46
4455,28
4466,28
4467,27
4487,29
4488,61
4489,20
4493,54
4513,38
4514,40
4524,12
4526,12
4527,12
4532,20
4535,16
4536,10
4578,12
4579,12
4581,10
4595,28
4596,28
4598,79
4602,10
4611,10
4631,30
4632,92
4635,62
4659,30
4660,46
4661,64
4666,14
4670,10
4678,54
4683,10
4684,44
4685,51
4694,10
4704,28
4733,20
4734,59
4737,60
4738,34
4739,38
4742,40
4776,30
4777,32
4779,31
4793,10
4931,86
4935,26
4937,92
4939,10
4947,24
4995,10
5075,14
5100,82
5108,10
5132,55
5177,78
5195,16
5196,15
5197,32
5217,16
5218,16
5228,23
5229,96
5256,25
5261,26
5263,20
5265,24
5266,24
5275,76
5286,36
5293,68
5306,20
5307,20
5317,20
5318,22
5321,18
5327,21
5329,20
5380,36
5382,40
5390,19
5393,70
5395,25
5450,93
5680,48
5716,17
5784,80
5807,11
5849,29
5860,26
5863,20
5873,27
5888,26
5904,26
5917,26
5947,26
5954,20
6115,26
6427,26
6644,38
6645,40
6646,98
6652,22
6657,16
6973,25
6974,20
7018,74
7020,77
7021,44
7022,76
7046,67
7050,28
7053,58
7056,62
7057,34
7069,36
7070,14
7093,46
7117,24
7119,46
7138,14
7140,67
7142,98
7164,84
7167,36
7188,52
7263,16
7308,12
7309,14
7312,12
7334,14
7869,32
7870,64
7871,36
7873,66
7874,30
7884,26
8057,54
8058,54
8059,58
8115,14
8272,27
8277,16
2484,978
2485,943
2562,917
2569,719
2629,729
2641,830
2676,984
2677,846
2821,827
3090,855
3141,760
3142,442
3145,840
3151,935
3194,932
3197,817
3199,795
3201,509
3202,838
3224,993
3226,760
3227,555
3235,685
3237,806
3239,943
3248,860
3250,602
3258,640
3259,349
3260,590
3266,784
3267,691
3274,955
3276,758
3277,561
3283,679
3284,523
3285,541
3286,578
3287,829
3289,490
3290,763
3293,834
3294,716
3295,716
3296,873
3297,746
3298,994
3299,741
3300,775
3301,652
3310,604
3311,961
3312,998
3317,398
3319,594
3321,277
3323,921
3324,786
3325,419
3326,642
3330,918
3331,323
3332,764
3333,865
3334,969
3335,555
3337,548
3338,952
3339,784
3340,621
3341,626
3354,527
3356,283
3359,975
3366,595
3367,368
3368,806
3378,677
3379,992
3381,985
3391,499
3392,617
3393,555
3394,449
3397,828
3403,372
3416,654
3417,524
3418,924
3443,586
3445,952
3455,601
3457,519
3458,946
3459,849
3465,495
3467,429
3469,307
3475,720
3477,921
3481,649
3485,245
3487,276
3488,390
3489,191
3490,526
3492,397
3493,689
3499,205
3501,252
3502,997
3509,103
3513,210
3522,468
3526,767
3532,483
3534,923
3535,809
3537,466
3538,614
3541,348
3546,897
3549,379
3550,276
3551,520
3552,510
3553,345
3555,596
3560,305
3561,766
3562,439
3564,320
3565,128
3571,350
3572,306
3573,425
3574,327
3575,337
3576,979
3578,551
3579,813
3582,920
3583,863
3584,701
3585,475
3586,376
3594,209
3596,224
3597,218
3598,179
3600,139
3608,264
3609,739
3610,289
3612,600
3613,463
3623,966
3633,471
3642,470
3643,617
3644,266
3645,179
3646,167
3647,513
3648,597
3649,722
3660,636
3661,419
3671,148
3678,441
3680,107
3682,291
3690,175
3693,180
3694,224
3695,194
3697,300
3699,973
3700,232
3701,518
3702,460
3703,146
3704,275
3706,590
3714,144
3715,135
3716,703
3717,651
3719,354
3720,431
3721,927
3723,104
3724,160
3725,630
3726,164
3727,292
3729,705
3732,394
3733,429
3737,528
3738,224
3739,287
3741,570
3742,151
3743,359
3744,350
3745,297
3746,347
3749,375
3751,457
3752,157
3753,362
3754,215
3757,233
3758,128
3763,590
3764,377
3765,107
3766,418
3769,300
3770,180
3771,472
3773,597
3774,297
3775,563
3776,373
3778,481
3780,550
3781,431
3785,176
3787,341
3790,429
3792,126
3793,364
3795,201
3796,277
3797,371
3798,346
3799,650
3801,291
3802,647
3805,147
3811,307
3812,923
3820,765
3821,166
3822,143
3823,398
3824,315
3825,936
3826,382
3827,341
3829,264
3835,795
3836,273
3837,178
3838,149
3839,629
3840,178
3841,588
3842,268
3846,256
3847,106
3848,556
3849,199
3850,120
3859,870
3864,291
3866,844
3872,831
3874,642
3877,411
3878,839
3883,131
3884,253
3890,141
3891,372
3899,179
3947,220
3951,568
3971,558
3972,503
3973,414
3974,880
3975,616
3976,872
3977,380
3979,236
3987,184
4005,678
4006,764
4143,100
4416,114
4417,172
4418,505
4419,624
4420,349
4432,431
4437,443
4438,155
4468,164
4600,223
4606,287
4607,356
4633,196
4634,164
4636,134
4655,293
4657,718
4658,158
4663,446
4664,426
4718,720
4732,103
4735,323
4741,435
4754,376
4769,376
4785,376
4798,376
4809,329
4813,266
4835,155
4836,240
4837,763
4839,370
4842,914
4848,954
4850,177
4859,534
4861,636
4862,759
4875,781
4883,583
4888,125
4890,126
4891,736
4892,909
4893,126
4894,126
4897,116
4898,292
4908,829
4917,266
4923,845
4929,915
4930,157
4932,184
4933,119
4936,108
4956,112
4996,376
5052,960
5056,960
5062,838
5063,862
5067,827
5081,340
5088,851
5090,400
5091,540
5099,361
5121,310
5122,106
5124,220
5139,682
5140,134
5143,788
5144,685
5226,202
5232,266
5234,226
5258,176
5268,744
5269,400
5271,286
5273,140
5274,367
5276,191
5277,178
5278,314
5279,396
5280,960
5281,411
5283,429
5284,334
5285,455
5288,588
5290,370
5308,391
5373,156
