retention_in_hour,count
1,274
2,1234
3,1975
4,3672
5,4984
6,6257
7,7844
8,8931
9,9744
10,8499
11,9865
15,3785
21,9513
46,9010
61,8274
71,9092
72,9990
76,9252
77,9958
78,8364
105,6955
107,8310
114,8451
12,13183
125,9569
128,8964
130,7238
13,13082
137,9732
139,8292
14,15099
145,8385
150,7780
16,11319
17,12939
18,11457
191,1660
19,15136
192,8074
193,7466
194,9888
195,5464
197,6366
20,14580
211,8511
22,15474
224,9669
23,17972
233,9508
234,7815
235,9284
24,16175
241,7075
246,8960
25,14027
259,6950
26,18091
27,16360
28,13482
29,13419
30,13288
31,14953
32,17453
33,19624
34,19021
35,21260
36,20588
37,17549
38,12644
39,22920
40,19479
41,17614
42,19303
43,13103
44,11391
45,12644
47,15880
48,17285
49,13708
50,15881
51,20902
52,19177
53,22532
54,22029
55,22505
56,20393
57,24360
58,21637
59,19013
60,18538
62,22933
63,23428
64,18859
65,13676
66,26250
67,22412
68,20931
69,19597
70,19016
73,11400
74,10924
75,15174
79,18547
80,11876
81,17633
82,23974
83,17864
84,19243
85,15978
86,23073
87,20102
88,16970
89,26019
90,21506
91,24294
92,23845
93,20392
94,19398
95,19364
96,24646
97,16390
98,27109
99,18439
100,19713
101,23076
102,19338
103,25107
104,25602
106,10277
108,27541
109,26883
110,17163
111,26760
112,25991
113,12643
115,18309
116,25098
117,20998
118,23552
119,24458
120,15051
121,16542
122,18723
123,26639
124,19331
126,12966
127,12998
129,13059
131,12588
132,13088
133,19779
134,13284
135,12675
136,12616
138,12581
140,18472
141,20588
142,15331
143,12167
144,15778
146,24419
147,21351
148,18226
149,18018
151,22374
152,18766
153,22112
154,16034
155,16967
156,26052
157,17378
158,16707
159,21192
160,15300
161,22985
162,20617
163,17857
164,25056
165,18214
166,25095
167,24416
168,24709
169,15332
170,26503
171,23362
172,16805
173,23716
174,26977
175,23813
176,26790
177,19684
178,27842
179,23587
180,16359
181,28769
182,24003
183,24740
184,27395
185,16256
186,15590
187,29728
188,27026
189,33918
190,31553
196,10168
198,24474
199,30215
200,25737
201,28163
202,15239
203,27266
204,30096
205,26253
206,30208
207,16772
208,11877
209,14944
210,15568
212,30208
213,27530
214,28297
215,30592
216,11911
217,23048
218,29704
219,21766
220,30212
221,19333
222,15201
223,20386
225,29321
226,31232
227,26124
228,26626
229,16770
230,13603
231,10308
232,12036
236,12871
237,12161
238,12650
239,11267
240,11393
242,10052
243,10880
244,12487
245,12066
247,12865
248,29382
249,14499
250,12641
251,13253
252,11274
253,10950
254,12262
255,13480
256,12074
257,11387
258,14210
260,22987
261,11457
