retention_in_hour,count
125,26
138,93
146,78
149,41
150,20
36,913
52,926
70,791
74,284
77,682
78,371
84,836
85,621
88,539
89,810
90,452
91,756
92,808
105,741
108,316
114,907
116,510
122,118
12,3209
124,154
129,652
133,880
13,3998
136,177
137,738
141,415
145,695
148,152
156,140
15,8056
159,918
160,783
16,3137
165,473
166,194
168,338
17,2453
18,3323
19,6501
1,98668
20,4036
22,4613
2,34341
23,5801
25,2431
27,2720
28,5582
29,2681
30,3015
31,4790
33,3026
3,53643
35,6975
37,1067
38,5727
39,1961
40,1035
4,13151
42,4740
43,2640
44,1007
45,2525
46,1957
47,5458
48,3529
49,1339
50,1131
51,1959
5,18041
0,523522
53,2372
54,2345
55,2970
56,9484
57,1656
58,8682
59,4336
60,1607
6,16675
62,5912
63,3184
64,3362
65,2679
66,1689
67,1798
68,2872
69,1581
71,3212
7,19700
73,2151
76,2180
79,3361
80,8688
8,26044
83,4937
86,2585
87,6484
9,11480
98,3782
99,1185
100,5959
10,13155
103,5844
104,9294
107,4269
109,2929
111,3992
11,16020
112,1133
115,2017
117,1214
118,1293
119,2366
121,2359
126,1132
127,2082
128,7017
131,9333
132,1039
134,7373
135,1171
139,1240
140,1570
14,17920
142,2928
144,1418
152,7662
153,1701
155,4020
157,1086
158,3159
162,4998
163,1962
164,1496
167,3333
21,40347
24,59237
26,36055
32,11860
34,12371
41,39263
61,23227
72,26110
75,25257
81,23912
82,10661
93,11734
95,38383
96,20799
97,38787
101,47249
102,25300
106,14991
110,19234
113,18641
120,34626
123,29409
130,11540
143,26930
147,27919
151,25948
154,13277
161,25735
94,129045
