retention_in_hour,count
13,8
32,3
36,1
37,6
38,6
41,2
53,2
57,4
58,2
60,6
63,1
67,1
74,8
83,1
84,1
88,2
121,5
12,32
126,8
129,1
130,1
135,4
141,1
142,1
15,23
153,6
154,1
158,1
19,39
2,175
22,49
27,27
28,32
30,45
33,19
43,10
44,73
45,34
50,86
52,36
54,20
56,18
5,929
61,25
6,214
62,28
66,43
69,47
77,24
78,10
80,21
8,313
86,17
92,19
9,348
10,117
102,22
1,1080
11,195
114,77
120,10
136,90
138,35
0,14231
14,400
144,16
157,78
161,80
16,308
17,187
20,877
24,251
26,220
29,271
31,314
34,114
3,4416
35,109
39,524
40,194
4,2202
47,962
48,395
49,189
51,473
55,562
59,278
65,841
68,142
70,157
7,1938
72,122
73,598
81,235
82,326
89,921
94,235
99,282
101,197
106,151
113,111
115,593
116,276
118,141
133,271
139,730
143,928
150,267
164,725
18,3244
21,1846
23,1065
25,6594
42,2520
46,3018
64,1301
71,1979
75,2039
85,2584
91,1248
93,4275
95,1449
97,1711
105,1575
119,4407
127,1145
147,5905
152,3212
167,1065
76,382833
