retention_in_hour,count
155,8
56,98
84,57
128,46
131,17
156,29
30,746
32,616
35,158
36,605
37,183
39,987
42,535
43,604
44,259
46,410
47,312
48,358
50,569
51,493
53,854
54,165
55,691
57,270
5,7619
59,211
60,383
61,237
6,2161
64,913
66,221
67,647
68,168
70,312
72,548
7,2649
73,284
75,817
77,656
78,243
79,423
80,109
81,481
83,114
8,3360
85,427
88,304
9,2551
95,172
98,121
103,948
10,4224
107,593
108,834
109,420
111,524
11,2131
12,2733
125,717
127,181
129,217
13,1297
132,114
133,142
14,6527
150,385
152,483
15,3327
160,332
1,67584
167,617
16,9586
17,9608
18,7670
19,7529
20,2498
0,206574
22,2439
23,4407
25,4290
27,5108
28,4123
29,2923
31,3666
3,15066
33,1028
34,3290
38,1561
40,1157
41,3259
4,27964
45,8686
49,1637
52,2962
58,2972
62,1598
63,2165
65,3066
69,8480
71,2202
76,2657
82,3488
86,2129
87,2050
89,4853
90,3868
91,5980
92,5777
94,1103
96,3259
97,1757
99,4284
100,2920
101,9423
104,1724
105,2032
106,2853
110,5789
112,2203
114,5391
115,2545
116,1128
118,2846
119,4529
120,1854
121,2294
123,2901
124,2955
126,1683
130,2543
134,1675
135,3087
136,3845
137,8814
138,3367
140,2534
142,2119
143,1919
144,1160
145,1668
147,2925
148,3671
149,4304
153,1089
154,1494
158,1664
159,1527
161,5336
162,5743
163,2244
164,9246
21,22038
2,162061
24,12130
93,23563
113,13226
117,15089
139,16529
141,17325
151,11948
157,69617
165,16998
166,12962
26,142327
74,141513
102,313135
122,130407
146,127891
