retention_in_hour,count
131,3
133,1
135,1
154,1
156,2
158,5
163,8
61,71
69,68
70,99
83,23
87,73
142,27
155,49
157,12
159,16
33,649
45,982
55,122
56,452
57,249
60,362
62,239
66,399
68,236
71,300
72,147
73,411
74,619
75,308
82,373
132,687
143,837
148,284
150,604
151,265
161,557
164,215
21,5447
32,2726
34,2133
41,4563
43,6273
44,1246
46,5394
47,1536
48,2365
58,1266
63,5818
64,2282
65,1069
67,3381
7,11959
80,2448
81,1842
8,12161
85,1584
86,6164
121,3230
125,2316
127,5469
128,9312
140,9593
141,5804
144,4985
146,2655
15,13839
160,3844
162,9554
16,55597
165,7973
17,88250
18,42709
19,28111
20,10959
22,83323
0,2285171
42,43725
49,10365
54,34141
5,477779
6,270917
76,82134
77,44613
78,25598
79,18027
88,82039
120,48477
124,82186
126,17317
129,15892
1,3146228
145,28737
149,72708
166,19703
2,1362806
23,268447
24,495351
25,170727
31,562235
3,3194868
35,262984
39,171940
40,295195
4,2789348
59,240013
84,239208
89,347628
90,349912
91,838047
92,716089
93,273447
94,298403
95,508684
100,300202
101,342454
102,260836
103,209766
104,343455
105,242416
106,275865
107,288062
108,289960
109,467793
110,284280
111,449309
115,316222
116,263032
117,187383
118,519948
119,908103
122,458721
123,134374
13,2915816
134,239098
136,540813
139,284751
14,1508180
167,183069
26,2367860
27,2404097
28,1924540
29,1870608
30,1256171
36,3773313
37,2464854
38,1173016
50,2302072
51,2403005
52,1506704
53,2183357
9,15612002
96,2276201
97,3193400
98,3214381
99,2929080
10,14958942
11,15878062
112,1511625
113,3219780
114,2649029
12,11139726
137,1908942
138,1445168
