retention_in_hour,count
91,5
104,3
107,3
108,6
120,9
122,9
124,2
131,2
136,3
139,1
27,52
59,84
60,28
83,25
90,17
96,25
98,20
101,31
112,27
115,31
116,17
128,13
135,10
13,852
141,24
156,10
15,686
159,11
162,12
167,22
16,933
18,361
20,239
23,173
2,3384
0,24039
26,309
28,914
30,326
32,247
35,436
36,221
39,458
40,394
43,301
48,108
49,536
5,1154
52,180
53,499
56,153
57,574
6,1120
61,318
63,430
67,129
68,522
69,711
70,847
7,2218
79,955
80,490
8,1254
85,410
87,249
89,819
93,341
94,301
9,5479
95,546
100,978
102,175
10,2523
103,858
106,995
109,308
111,207
114,735
117,273
12,1154
125,227
126,709
127,783
129,543
1,32423
133,288
137,641
14,2237
145,882
146,310
149,213
150,230
151,895
157,409
163,405
165,840
166,191
17,3655
19,2733
22,3557
24,4223
29,8917
31,1214
3,18744
34,9151
37,1607
38,5492
4,10043
41,1097
42,4613
44,1723
45,1696
46,4230
50,5179
51,1251
54,4358
55,2727
58,4349
62,1390
64,5852
65,2207
72,2476
73,8834
74,6176
76,8943
78,3393
81,2495
82,2471
84,8669
86,1286
88,1665
99,1562
110,2625
11,14111
113,8169
119,8672
121,1980
130,1144
132,2791
134,1083
142,8965
144,6176
153,8341
154,2245
158,1114
160,1008
21,10629
25,12824
33,13198
47,14853
66,12145
71,17620
75,21304
77,10404
92,11892
97,15967
105,10581
118,13442
123,10719
143,14878
147,16464
152,15510
161,12882
