retention_in_hour, count
0, 145833
1, 159
2, 6276
3, 19933
4, 24510
5, 25310
6, 20747
7, 25978
8, 22746
9, 21302
10, 22402
11, 20269
12, 22552
13, 21564
14, 24510
15, 21233
16, 24418
17, 20344
18, 22227
19, 20650
20, 21341
21, 21083
22, 23026
23, 20590
24, 21795
25, 18143
26, 16083
27, 20000
28, 18896
29, 16008
30, 6854
31, 7472
32, 9822
33, 7835
34, 11296
35, 6625
36, 2785
37, 1996
38, 3237
39, 1849
40, 4076
41, 2378
42, 4544
43, 6607
44, 5959
45, 6031
46, 1602
47, 1000
48, 6230
49, 2004
50, 2026
51, 2026
52, 1535
53, 973
54, 1163
55, 1094
56, 3378
57, 6673
58, 2156
59, 11017
60, 4735
61, 4801
62, 11040
63, 5315
64, 4571
65, 8664
66, 5552
67, 5636
68, 10526
69, 8315
70, 5054
71, 8264
72, 9359
73, 4779
74, 4616
75, 4576
76, 3701
77, 6189
78, 2631
79, 3693
80, 1996
81, 3043
82, 3312
83, 3803
84, 2718
85, 3566
86, 3665
87, 5298
88, 3960
89, 3699
90, 2768
91, 2324
92, 5888
93, 5274
94, 4258
95, 2091
96, 3177
97, 3654
98, 4169
99, 2644
100, 3819
101, 1737
102, 1618
103, 4470
104, 4071
105, 3988
106, 5007
107, 4295
108, 1723
109, 1374
110, 4192
111, 1471
113, 50
114, 89
116, 1
117, 43
118, 3
120, 1
121, 2
